,state_number,consecutive_number,vehicle_number,drivers_vision_obscured_by,drivers_vision_obscured_by_name
363,48,482165,5,0,No Obstruction Noted
364,48,482165,6,0,No Obstruction Noted
365,48,480828,5,0,No Obstruction Noted
366,48,480828,6,0,No Obstruction Noted
367,48,480879,5,0,No Obstruction Noted
368,48,480777,5,0,No Obstruction Noted
369,48,480824,5,0,No Obstruction Noted
370,48,480751,5,0,No Obstruction Noted
371,48,481333,5,0,No Obstruction Noted
372,48,481149,5,0,No Obstruction Noted
373,48,481184,5,0,No Obstruction Noted
374,48,481257,5,0,No Obstruction Noted
375,48,481257,6,0,No Obstruction Noted
376,48,481257,7,0,No Obstruction Noted
377,48,481257,8,0,No Obstruction Noted
378,48,481257,9,0,No Obstruction Noted
379,48,481207,5,0,No Obstruction Noted
380,48,481207,6,0,No Obstruction Noted
381,48,480330,5,0,No Obstruction Noted
382,49,490027,5,0,No Obstruction Noted
383,49,490011,5,0,No Obstruction Noted
384,49,490046,5,0,No Obstruction Noted
385,49,490250,5,0,No Obstruction Noted
386,51,510261,5,0,No Obstruction Noted
387,51,510261,6,0,No Obstruction Noted
388,51,510171,5,0,No Obstruction Noted
389,51,510171,6,0,No Obstruction Noted
390,53,530442,5,0,No Obstruction Noted
391,53,530396,5,0,No Obstruction Noted
392,53,530397,5,0,No Obstruction Noted
393,53,530380,5,0,No Obstruction Noted
394,53,530487,5,0,No Obstruction Noted
395,53,530505,5,0,No Obstruction Noted
396,54,540135,5,0,No Obstruction Noted
397,55,550048,5,0,No Obstruction Noted
398,55,550048,6,0,No Obstruction Noted
399,55,550528,6,0,No Obstruction Noted
400,55,550528,5,0,No Obstruction Noted
401,38,380097,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
402,38,380091,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
403,1,10095,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
404,1,10095,6,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
405,1,10095,10,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
406,6,61808,5,1,"Rain, Snow, Fog, Smoke, Sand, Dust"
